NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeologicalCitation,Geological Certainity,Date,Date Low,Date High,Date Decision,Materials used,Level of artistic input,Which group created this,What was its use,Extanat,Was it a decorative object or useful? ,Does it feel Roman or not,Notes1,Notes2,Source
Vandal Horseman Mosaic,Null,Bord-Djedid,Carthage,Tunisia,British Museum,London,England,36.8529,10.3217,Archaeological Excavation,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=58712&partId=1,100%,5th Century Late-6th Century Early,570 CE,615 CE,590 CE,stone ,High,Vandals,Floor mosaic,"yes, but not in original site, and not in whole",A useful object made decorative,"Feels both Roman or Vandal, not known which group created it",Class notes. No source other than Wikipedia. Mosaic book? ,,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=58712&partId
Mausoleum of Theoderic,Mausoleo di Teodorico,Ravenna,Italy,Null,Ravenna,Italy,,44.425122,12.208997,Extant, Google Maps,100%,520 CE,520 CE,520 CE,520 CE,"Istirian Stone, porphyry stone",Medium,Ostrogoths,The burial site for Theoderic I,"Yes, completely. ",Made to be useful but is decorative,Feels a blend of Roman and Gothic. The inside is made to resemble a visigothic yurt of ancestors while the outside is decidely Roman,,,
Sant'Agata Maggiore,Sant'Agara Maggiore,Ravenna,Italy,Null,Ravenna,Italy,,44.414096,12.20149,Extant,Google maps,100%,"5th Century, After Stilicho's death",408 CE,499 CE,420 CE,"Stone, metal",Low,Ostrogoths,Church,"Yes, but was modified numerous times and not much of original remains","Both, decorative building with a purpose",Seems more Roman due to inscriptions,"Not much of original remains, a vast majority of the remains have been modified and the original are either destroyed ",,AD 410: The year that Shook Rome
Horse gear,Null,Null,Not Known,Null,Null,Kirch,Crimea,45.36383,36.470456,Modern Discovery,AD 410: Year That Shook Rome,80%,Middle of the 4th Century,350 CE,399 CE,375 CE,"gold,various jewels,iron",High,Ostrogoths,Use on a Horse,Yes,A useful object made decorative,Ostrogothic. Uses Cloisenne found in other Gothic art,Source: AD 410: The Year that Shook Rome. an approximation. The location is a rough estimate.,,
Inscription in Grand Basilica of Hippo,Null,Grand Basilica,Hippo Regus,North Africa,Annaba,Algeria,North Africa,36.848633,10.325103,Archaeological Excavation,Google maps,75%,474 CE,474 CE,474 CE,474 CE,Stone,Null,Vandals,Epitaph in Church,No,Decorative,"More Vandal, but a guess","No image found, but describes germanic tribes in Vandal community",,A History of the Vandals
Vandal Court,Proconsular Court,Byrsa Hill,Carthage,Tunisia,Byrsa Hill,Tunisia,North Africa,36.852401,10.322828,Extant,Google maps and The History of the Vandals,85%,429-522 CE,429 CE,522 CE,429 CE,"Stone, glass, mosaic",High,Vandals,Administrative Building,"Yes, but in ruins",Useful object made decorative,Roman as originally built for Romans but renovated by Vandals,"Location an estimate, as are the years, originally built by romans but coopted by Vandals. Site chosen seems most likely due to the ruins",,A History of the Vandals
Vandal Silver Coin,Null,Null,Carthage,Tunisia,British Museum,London,England,36.852293,10.323873,Archaeological Excavation,British Museum,70%,480-81 CE,480 CE,481 CE,480 CE,Silver,Medium,Vandals,Coin,Yes,Useful object,Vandal imitating Roman,50 Denerii Coin Inscription: Felix Carthage (fortunate Carthage) Personification of Carthage,,British Museum and A History of the Vandals
Afridos Funerary Mosaic,Afridos Funerary,Thurburbo Mauis,Tunisia,North Africa,Null,Null,Null,36.401208,9.9031319,Modern Discovery,Google Maps,80%,Unknown Date,Unknown Date,Unknown Date,Unknown Date,"Stone, gems",Medium,Vandals,Funerary mosaic,Yes,Useful object made decorative,"Roman, but uses vandal names so vandal",No info found online,,Class notes
Gold Buckle,Null,Annaba,Algeria,Africa,British Museum,London,England,36.88208,7.750661,Archaeological Excavation,Google Maps,75%,Late 5th Century,460 CE,499 CE,475 CE,"Gold, copper alloy",High,Vandals,Buckle,Yes,Decorative,Vandal,"The technique used is not as detailed and intricate as a roman one is expected. Also, based on year created, more likely vandal than roman",,Class notes/British Museum
Disc Brooch,Null,Annaba,Algeria,Africa,British Museum,London,England,36.88208,7.750661,Archaeological Excavation,Google Maps,75%,Late 5th Century,460 CE,499 CE,475 CE,"Rock Crystal, Gold, Glass, Copper Alloy",High,Vandals,Brooch,Yes,Decorative,Vandal,"Uses Cloissone, Seems to be in cross Shape",,Class notes/ British Museum
Basilica of Sant'Apollinare Nuovo,Basilica to Christ the Redeemer,Ravenna,Italy,Null,Ravenna,Italy,Null,44.416997,12.204899,Extant,AD 410: Year That Shook Rome,100%,Ca 500 AD,Ca 500 AD,Ca 500 AD,Ca 500 AD,"Stone, precious stones, gems, glass",High,Ostrogoths,Church,Yes,Useful object made decorative,Ostrogothic.,Very elaborate and decorative. Was decorated by Justinian. Originally built by Theoderic the Great,,Class notes/ AD 410: The Year that Shook the Roman Empire
Bronze coin of Theodahad,Bronze follis,Rome ,Italy,Null,British Museum,London,England,41.89903,12.460827,Archaeological Excavation,AD 410: Year That Shook Rome,,534-536AD,534 AD,536 AD,535 AD,Bronze,Medium,Ostrogoths,Coin,Yes,Useful object,Roman,"On back has S C, Senatus Consulto, classical depiction of Victory",King looks very gothic with moustache and helmet,AD 410: The Year that Shook Rome
Theoderic's Palace,Palace of Theodoric,Ravenna,Italy,Null,Null,Null,Null,44.416913,12.206863,Primary Source,Ravenna in Late Antiquity,85%,450 AD,450 AD,450 AD,450 AD,"Stone, Marble, mosaic, water, plants, precious stones and gems,",High,Ostrogoths,Palace of a King,No,Decorative,Roman and Ostrogothic,All that survives is the columns but they look roman. ,"Based on his mausoleum, it would look roman and gothic. A blend of appealing to the old tradition and his heritage",Ravenna in Late Antiquity
Ravenna Cathedral,Null,Ravenna,Italy,Null,Null,Null,Null,44.415482,12.19674,Primary Source,Ravenna in Late Antiquity,90%,405-431 AD,405 AD,431 AD,430 AD,"Marble, precious stones,gold,  ",High,Ostrogoths,Cathedral,No,Useful made decorative,Does not survive today except for some mosaic but it has a non-Roman feel to it ,"the cathedral does not remain today, but primary sources describe it as glorious ",Date is highly disputed but I used the author's guess,Ravenna in Late Antiquity
Basilica of San Vitale,San Vitale,Ravenna,Italy,Null,Ravenna,Italy,Null,44.420593,12.196239,Extant,Ravenna in Late Antiquity,100%,536-547 CE,536 CE,547 CE,547 CE,"Marble, precious stones,gold,  stone, wood",High,Ostrogoths,church,Yes,Useful building made decorative,Feels Byzantine,"Was built under Ostrogoths, but was finished by Byzantines",Date is year consencrated,Ravenna in Late Antiquity
Antoinne Baths Renovated by Vandals,Baths of Antonius,Carthage,Tunisia,Null,Carthage,Tunisia,Null,36.854331,10.33491,Extant,"Vandals, Berbers, and Romans",100%,435-534 CE,435 CE,534 CE,480 CE,"Marble, water, precious stones, oil",High,"Roman, renovated by Vandals",Public Bath,"Yes, but in ruins",Useful,Roman,"The remains do not show the renovations that Vandals did vs Romans, but primary sources say that they renovated it","Date is original building, 145-162 CE","Vandals, Roman, and Berbers"
Vandal House,Kobba Bent el Ray,Carthage,Tunisia,Null,Carthage,Tunisia,Null,36.857844,10.331369,Primary Source,"Vandals, Berbers, and Romans",100%,3rd century,200 CE,299 CE,225 CE,"Marble, precious stones, mosaic",High,Vandal,Mansion or villa,"Yes, but in ruins",Useful building made decorative,Roman,All that survives is the columns but they look roman. ,,"Vandals, Roman, and Berbers"
House of Bound Animals,House of Bound Animals,Thurburbo Mauis,Tunisia,North Africa,Thurburbo Mauis,Tunisia,North Africa,36.401208,9.903131,Modern Discovery,Mosaics of the Greek and Roman World,80%,Unknown Date,Unknown Date,Unknown Date,Unknown Date,"Precious stones, gems",High,Vandals,Wall Mosaic,yes,Useful object made decorative,Roman,"Roman in design layout, but design looks more Roman",,Mosaics in the Greek and Roman world
House of the Horses,Mosaic of the Horses,Antiquarium,Carthage,Tunisia,Antiquarium,Carthage,Tunisia,36.852342,10.323931,Archaeological Excavation,Mosaics of the Greek and Roman World,80%,Early 4th Century,300 CE,340 CE,325 CE,"Precious stones, gems",High,Roman,Floor mosaic,"Yes, but not the entirety of the floor",Useful object made decorative,Roman,this is part of a design that spans the entire of the floor. ,heterogenous,Mosaics in the Greek and Roman world
Albertini tablets,Albertini Tablets,Djebel Mrata,Algeria,North Africa,Null,Null,Null,35.498506,6.515087,Archaeological Excavation,Class Notes,70%,493-496 CE,493 CE,496 CE,495 CE,"Cedar wood, ink",Low,Vandal,Law Tablets,"Yes, current location not known",Useful,Roman in writing,Was written in Latin,45 Tablets,Class notes
Afridos funerary brooch,Afridos Funerary brooch,Annaba ,Algeria,Africa,Null,Null,Null,36.401208,9.9031319,Archaeological Excavation,Google Maps,75%,Late 5th Century,460 CE,499 CE,475 CE,"copper alloy, gold, jewels",High,Vandal,brooch,Yes,Decorative,Vandal made mimics Roman,From Afridos burial,,Class Notes
