Object Name,Object Type,Materials,Creation Start Date,Creation End Date,Creation Date Decision,Date,Century,Point Color,Find Site,Find Site Type,Latitude,Longitude,Source
Pendant of Empress Maria,Pendants,"Gold, agate cameo, emerald, ruby",398,407,403,c. 403,5th,Yellow,Chapel of St. Petronilla,Chapel,41.9022,12.4539,"Evans et al., The Glory of Byzantium: Art and Culture of the Middle Byzantine Era, A.D. 843–1261, The Metropolitan Museum of Art (1997)"
Ring,Rings,Gold,380,430,410,Late 4th - Early 5th Century,5th,Yellow,"New Grange co., Meath",Cave,53.6947,-6.4755,Reginald A. Smith
Bracteate,Pendants,Gold,500,500,500,500,6th,Orange,"Market Overton, Rutland",Cemetery,52.7388,0.6849,Reginald A. Smith
Square-headed Bronze Brooch,Brooches,Bronze,570,590,580,c. 580,6th,Orange,"Laceby, Lincolnshire",Cremation Burial,53.5419,0.1692,Reginald A. Smith
Earring with Hoop and Pendant,Earrings,Gold,100,200,150,2nd Century,2nd,Purple,"Tortosa, Syria",Archeological Site,34.8959,35.8867,"Higgins, Greek and Roman Jewelry"
Earring with Bar and Pendants,Earrings,"Gold, stone",200,300,250,3rd Century,3rd,Purple,"Hauran, Syria",Archeological Site,32.6264,36.1033,"Higgins, Greek and Roman Jewelry"
Earring with Disc and Pendant,Earrings,Gold,100,200,150,2nd Century,2nd,Purple,"Tortosa, Syria",Archeological Site,34.8959,35.8867,"Higgins, Greek and Roman Jewelry"
Earring,Earrings,Gold,200,300,250,3rd Century,3rd,Purple,"Jaffa, Israel",Grave,32.0494,34.7584,"Higgins, Greek and Roman Jewelry"
Hair Ornament Set with Sapphires and Pearls,Hair ornaments,"Gold, sapphire, pearl, crystal",200,300,250,3rd Century,3rd,Purple,"Tunis, Tunisia",Unknown,36.8065,10.1815,"Higgins, Greek and Roman Jewelry"
Earring,Earrings,Gold,1,199,100,1st - 2nd Century,1st,Purple,"Pozzuoli, Italy",Unknown,40.8459,14.0933,"Higgins, Greek and Roman Jewelry"
Necklace Set with Pearls and Emeralds,Necklaces,"Gold, pearl, emerald",1,99,50,1st Century,1st,Purple,Pompeii,Unknown,40.7462,14.4989,"Higgins, Greek and Roman Jewelry"
"Necklace Inlaid with Sapphire, Garnet, and Crystal",Necklaces,"Gold, sapphire, garnet, crystal",1,99,50,1st Century,1st,Purple,Rome,Unknown,41.9027,12.4963,"Higgins, Greek and Roman Jewelry"
Necklace Threaded with Glass,Necklaces,"Gold, glass",100,299,200,2nd - 3rd Century,2nd,Purple,"Tortosa, Syria",Archeological Site,34.8959,35.8867,"Higgins, Greek and Roman Jewelry"
Pendant with Coin of Constantine,Pendants,"Gold, reused coin",321,321,321,321,4th,Orange,Constantinople,Hoard,41.0082,28.9784,"Higgins, Greek and Roman Jewelry"
Bracelet,Bracelets,Gold,1,99,50,1st Century,1st,Purple,"Boscoreale, Italy",Unknown,40.7728,14.4814,"Higgins, Greek and Roman Jewelry"
