NameModern,NameAncient,LocationAncient,LocationModern,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Citation1,Plan1,Plan2,Function1,Function2,Commisioner,Domed,Marble,Roofing,TimberRoof,Mosaic,NumberAisles,Gallery,Exonarthex,Atrium,Ambulatory
Church of Holy Sepulchre,Basilica on Golgotha,Jerusalem,Jerusalem,31.778508,35.229474,Extant,http://www.sacred-destinations.com/israel/jerusalem-church-of-holy-sepulchre,100,336,328,336,336,Date consecrated,"Krauthemier, 39",Basilica,nul,Church,Martyrium,Constantine,Yes,Yes,Coffered,nul,Yes,4,Yes,nul,Yes,nul
Church of the Nativity,Grotto of the Nativity,Bethlehem ,Bethlehem,31.704274,35.20733,Extant,http://www.sacred-destinations.com/israel/bethlehem-church-of-the-nativity,100,333,333,333,333,Witness account of the basilica as early as 333,"Krauthemier, 38",Basilica,Octagonal,Church,Martyrium,Constantine,nul,Yes,Pyramidal,nul,Yes,4,nul,nul,Yes,nul
Hagia Sophia,Church of St. Sophia,Constantinople,Istanbul,41.00847,28.97993,Extant,https://whc.unesco.org/en/list/356,100,360,360,360,360,Date completed by Constantius,"Krauthemier, 46",Basilica,Cross-shaped,Church,nul,Constantine,nul,Yes,Vaulted,nul,Yes,3,Yes,Yes,Yes,nul
Fatih Mosque,Church of the Holy Apostles,Constantinople,Istanbul,41.019518,28.949811,Documentary Evidence,http://www.sacred-destinations.com/turkey/istanbul-fatih-camii,100,360,330,360,360,"Started by Constantine, finished 360","Krauthemier, 47",Basilica,nul,Apostoleion,Martyrium ,Constantine,Yes,Yes,Coffered,nul,Yes,4,Yes,nul,Yes,nul
The Rotunda,Anastasis,Jerusalem,Jerusalem,31.7786231,35.2297148,Extant,http://www.sacred-destinations.com/israel/jerusalem-church-of-holy-sepulchre,100,370,350,380,370,Date from archaeology ,"Krauthemier, 50",Rotunda,Octagonal,Church,Martyrium ,Constantine,Yes,Yes,Domed,Yes,Yes,0,Yes,nul,nul,Yes
Kaoussie Martyrium ,Martyrium of St. Babylas ,Kaoussie,Antioch,36.199756,36.157784,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B011'59.1%22N+36%C2%B009'28.0%22E/@36.1997577,36.1569397,320m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d36.1997559!4d36.1577841",40,378,378,378,378,Date from historical context; approximate area,"Krauthemier, 51",Cross-shaped,nul,Church,Martyrium,Julian the Apostate,nul,Yes,Pyramidal,Yes,Yes,0,Yes,nul,nul,nul
Golden Octagon,Golden Octagon,Oronted Island,Antioch,36.1982,36.156434,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B011'53.5%22N+36%C2%B009'23.2%22E/@36.1982017,36.1555824,323m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d36.1982002!4d36.1564336",40,327,327,341,327,Two years after Council of Nicaea; approximate area,"Krauthemier, 52-3",Octagonal,nul,Palace Church,nul,Constantine,Yes,Yes,Pyramidal,Yes,Yes,2,Yes,nul,nul,Yes
Church of St. George,Rotunda of St. George,Serdica,Sofia,42.696856,23.323017,Extant,http://bulgariatravel.org/article/details/344,100,315,310,320,315,Built before Constantine's victory over Licinius in 324,"Curcic, 51",Rotunda ,Square-based,Church,nul,Constantine,Yes,Yes,Vaulted,nul,Yes,2,nul,Yes,nul,nul
Rotunda,Church of Agios Georgios,Salonica,Thessaloniki,40.633289,22.953068,Extant,http://www.sacred-destinations.com/greece/thessaloniki-rotunda,100,400,400,400,400,"Date turned into a church; Cavarnos, 15","Krauthemier, 54",Rotunda,Octagonal,Mausoleum,nul,Constantine,Yes,Yes,Barrel-vaulted,nul,Yes,1,nul,nul,nul,Yes
Manastirine,Shrine of St. Domnus,Salona,Solin ,43.54211,16.48258,Archaeological Excavation,http://dare.ht.lu.se/places/20009.html,100,317,314,320,317,Built shortly after the Edict of Milan (313),"Curcic, 60",Basilica,Cemetary,Martyrium,Church,nul,nul,nul,Vaulted,nul,Nul,3,nul,nul,nul,nul
Church of Acheiropoeitos,Church of Acheiropoeitos,Salonica,Thessaloniki,40.634983,22.94789,Extant,https://thessaloniki.travel/en/exploring-the-city/themed-routes/early-christian-and-byzantine-route/item/1821-church-of-the-acheiropoietos,100,470,470,470,470,Date from archaeology,"Krauthemier, 74",Basilica,nul,Church,nul,nul,Yes,Yes,Barrel-vaulted,Yes,Yes,2,Yes,Yes,nul,nul
Hagio Demetrios,Basilica of St. Demetrius ,Salonica,Thessaloniki,40.6387967,22.9472756,Extant,"https://www.google.com/maps/place/Church+of+St.+Demetrios/@40.6387967,22.9472756,195m/data=!3m2!1e3!4b1!4m5!3m4!1s0x14a839a9555261d5:0x9adb6b6586b26aab!8m2!3d40.6387957!4d22.9478228",100,412,412,412,412,Approximate,"Krauthemier, 96",Basilica,Cross-transept,Church,nul,nul,nul,Yes,Vaulted,Yes,Yes,5,Yes,Yes,Yes,Yes
Hosios David,Latomos Monastery,Salonica,Thessaloniki,40.641505,22.9521356,Extant,"https://www.google.com/maps/place/Osios+David/@40.641505,22.9521356,33m/data=!3m1!1e3!4m12!1m6!3m5!1s0x14a839a92a802431:0xe7c5266c2f083dab!2sOsios+David!8m2!3d40.6416899!4d22.9522064!3m4!1s0x14a839a92a802431:0xe7c5266c2f083dab!8m2!3d40.6416899!4d22.9522064",100,500,500,500,500,Date from historical context,"Curcic, 110",Cross-shaped,Square,Church,Monastery,nul,Yes,Yes,Groin vaulted,Yes,Yes,0,nul,nul,nul,nul
St. John at Ephesus,Church of St. John,Ephesus,Selcuk,37.9524928,27.3676569,Archaeological Excavation,"https://www.google.com/maps/@37.9524928,27.3676569,3a,75y,229.31h,78.67t/data=!3m8!1e1!3m6!1sAF1QipOZG7QofqQBaggWT1KzEuCq5kdwMU_H6HqIT6h9!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOZG7QofqQBaggWT1KzEuCq5kdwMU_H6HqIT6h9%3Dw203-h100-k-no-pi-0-ya335.49478-ro-0-fo100!7i5656!8i2828",90,565,565,565,565,Date from historical context; Justinian reconstruction,"Krauthemier, 175",Basilica,Cross-shaped,Church,nul,Justinian,Yes,Yes,Barrel-vaulted,nul,nul,4,Yes,Yes,Yes,nul
Church at Meriamlik,Merimalik Domed Basilica,Meriamlik,Meryemlik,36.364671,33.929663,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B021'52.8%22N+33%C2%B055'46.8%22E/@36.3646724,33.9289652,264m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.364671!4d33.929663",40,480,471,494,480,"Style (of capitals); Location based off another Meryemlik church, St. Thecla, Krauthemier, 82","Krauthemier, 177",Basilica,Domed,Church,nul,nul,Yes,nul,Barrel-vaulted,Yes,nul,2,Yes,Yes,nul,nul
Church of the Theotokos,Church of the Virgin,Mount Garizim,Nablus,32.2012,35.27353,Archaeological Excavation,"https://www.google.com/maps/place/32%C2%B012'04.3%22N+35%C2%B016'24.7%22E/@32.2016846,35.2722982,670m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d32.2012!4d35.27353",70,484,484,484,484,Emperor Zeno's Reign,"Krauthemier, 116",Rotunda,Octagonal,Church,nul,Zeno,Yes,nul,Pyramidal,Yes,nul,1,Yes,nul,nul,Yes
"Church of the Prophets, Apostles, and Martyrs","Church of the Prophets, Apostles, and Martyrs",Gerasa,Jerash,32.2836393,35.8961391,Conjecture,"https://www.google.com/maps/@32.2836393,35.8961391,254m/data=!3m1!1e3",60,465,465,465,465,"Location deduced from map in Harding, 75","Krauthemier, 117",Cross-shaped,nul,Church,nul,nul,nul,Yes,Pitched,nul,Yes,6,nul,nul,nul,nul
St. Etienne,Church of St. Stephen,Jerusalem,Jerusalem,31.785291,35.2293416,Extant,"https://www.google.com/maps/place/St+Etienne/@31.785291,35.2293416,267m/data=!3m1!1e3!4m5!3m4!1s0x150329c472e65195:0x737d70f6c177b84b!8m2!3d31.785108!4d35.2300423",80,440,437,460,440,Exiled Empress Eudokia,"Krauthemier, 117",Basilica,nul,Church,nul,Eudokia,Yes,Yes,Vaulted,nul,Yes,2,Yes,Yes,Yes,nul
Cathedral at Jerash,Cathedral at Jerash,Gerasa,Jerash,32.280983,35.8914242,Archaeological Excavation,"https://www.google.com/maps/place/Fountain+Court/@32.280983,35.8914242,414a,35y,90h/data=!3m1!1e3!4m13!1m7!3m6!1s0x151c802ff49ac08d:0x876c24b1cbded302!2sJerash,+Jordan!3b1!8m2!3d32.2746515!4d35.8960765!3m4!1s0x151c804867b8f5ef:0x55d2930e5125f0a5!8m2!3d32.2807131!4d35.8912785",70,359,350,375,360,Testimony from Bishop of Gerasa,"Harding, 84",Basilica,nul,Church,nul,nul,nul,Yes,Pitched,nul,Yes,2,nul,nul,Yes,nul
