NameModern,NameAncient,LocationAncient,LocationModern,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Citation1,Plan1,Plan2,Function1,Function2,Commisioner,Domed,Marble,Ceiling,TimberRoof,Mosaic,NumberAisles,Gallery,Exonarthex,Atrium,Ambulatory
Church of Holy Sepulchre,Basilica on Golgotha,Jerusalem,Jerusalem,31.778508,35.229474,Extant,http://www.sacred-destinations.com/israel/jerusalem-church-of-holy-sepulchre,100,336,328,336,336,Date consecrated,"Krauthemier, 39",Basilica,nul,Church,Martyrium,Constantine,Yes,Yes,Coffered,nul,Yes,4,Yes,nul,Yes,nul
Church of the Nativity,Grotto of the Nativity,Bethlehem ,Bethlehem,31.704274,35.20733,Extant,http://www.sacred-destinations.com/israel/bethlehem-church-of-the-nativity,100,333,333,333,333,Witness account of the basilica as early as 333,"Krauthemier, 38",Basilica,Octagonal,Church,Martyrium,Constantine,nul,Yes,Pyramidal,nul,Yes,4,nul,nul,Yes,nul
Hagia Sophia,Church of St. Sophia,Constantinople,Istanbul,41.00847,28.97993,Documentary Evidence,https://whc.unesco.org/en/list/356,100,360,360,360,360,Date completed by Constantine,"Krauthemier, 46",Basilica,nul,Church,nul,Constantine,nul,Yes,Vaulted,nul,Yes,3,Yes,Yes,Yes,nul
Fatih Mosque,Church of the Holy Apostles,Constantinople,Istanbul,41.019518,28.949811,Documentary Evidence,http://www.sacred-destinations.com/turkey/istanbul-fatih-camii,100,360,330,360,360,"Started by Constantine, finished 360","Krauthemier, 47",Basilica,Cross-shaped,Apostoleion,Martyrium ,Constantine,Yes,Yes,Coffered,nul,Yes,4,Yes,nul,Yes,nul
The Rotunda,Anastasis,Jerusalem,Jerusalem,31.7786231,35.2297148,Extant,http://www.sacred-destinations.com/israel/jerusalem-church-of-holy-sepulchre,100,370,350,380,370,Date from archaeology ,"Krauthemier, 50",Rotunda,Octagonal,Church,Martyrium ,Constantine,Yes,Yes,Domed,Yes,Yes,0,Yes,nul,nul,Yes
Kaoussie Martyrium ,Martyrium of St. Babylas ,Kaoussie,Antioch,36.199756,36.157784,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B011'59.1%22N+36%C2%B009'28.0%22E/@36.1997577,36.1569397,320m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d36.1997559!4d36.1577841",40,378,378,378,378,Date from historical context; approximate area,"Krauthemier, 51",Cross-shaped,nul,Church,Martyrium,Julian the Apostate,nul,Yes,Pyramidal,Yes,Yes,0,Yes,nul,nul,nul
Golden Octagon,Golden Octagon,Oronted Island,Antioch,36.1982,36.156434,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B011'53.5%22N+36%C2%B009'23.2%22E/@36.1982017,36.1555824,323m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d36.1982002!4d36.1564336",40,327,327,341,327,Two years after Council of Nicaea; approximate area,"Krauthemier, 52-3",Octagonal,nul,Palace Church,nul,Constantine,Yes,Yes,Pyramidal,Yes,Yes,2,Yes,nul,nul,Yes
Church of St. George,Rotunda of St. George,Serdica,Sofia,42.696856,23.323017,Extant,http://bulgariatravel.org/article/details/344,100,315,310,320,315,Built before Constantine's victory over Licinius in 324,"Curcic, 51",Rotunda ,Square-based,Church,nul,Constantine,Yes,Yes,Vaulted,nul,Yes,2,nul,Yes,nul,nul
Manastirine,Shrine of St. Domnus,Salona,Solin ,43.54211,16.48258,Archaeological Excavation,http://dare.ht.lu.se/places/20009.html,100,317,314,320,317,Built shortly after the Edict of Milan (313),"Curcic, 60",Basilica,Cemetary,Martyrium,Church,nul,nul,nul,Vaulted,nul,Nul,3,nul,nul,nul,nul
St. John at Ephesus,Church of St. John,Ephesus,Selcuk,37.9524928,27.3676569,Archaeological Excavation,"https://www.google.com/maps/@37.9524928,27.3676569,3a,75y,229.31h,78.67t/data=!3m8!1e1!3m6!1sAF1QipOZG7QofqQBaggWT1KzEuCq5kdwMU_H6HqIT6h9!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOZG7QofqQBaggWT1KzEuCq5kdwMU_H6HqIT6h9%3Dw203-h100-k-no-pi-0-ya335.49478-ro-0-fo100!7i5656!8i2828",90,565,565,565,565,Date from historical context; Justinian reconstruction,"Krauthemier, 175",Basilica,Cross-shaped,Church,nul,Justinian,Yes,Yes,Barrel-vaulted,nul,nul,4,Yes,Yes,Yes,nul
Church at Meriamlik,Merimalik Domed Basilica,Meriamlik,Meryemlik,36.364671,33.929663,Documentary Evidence,"https://www.google.com/maps/place/36%C2%B021'52.8%22N+33%C2%B055'46.8%22E/@36.3646724,33.9289652,264m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.364671!4d33.929663",40,480,471,494,480,"Style (of capitals); Location based off another Meryemlik church, St. Thecla, Krauthemier, 82","Krauthemier, 177",Basilica,Domed,Church,nul,nul,Yes,nul,Barrel-vaulted,Yes,nul,2,Yes,Yes,nul,nul
Cathedral at Jerash,Cathedral at Jerash,Gerasa,Jerash,32.280983,35.8914242,Archaeological Excavation,"https://www.google.com/maps/place/Fountain+Court/@32.280983,35.8914242,414a,35y,90h/data=!3m1!1e3!4m13!1m7!3m6!1s0x151c802ff49ac08d:0x876c24b1cbded302!2sJerash,+Jordan!3b1!8m2!3d32.2746515!4d35.8960765!3m4!1s0x151c804867b8f5ef:0x55d2930e5125f0a5!8m2!3d32.2807131!4d35.8912785",70,359,350,375,360,Testimony from Bishop of Gerasa,"Harding, 84",Basilica,nul,Church,nul,nul,nul,Yes,Pitched,nul,Yes,2,nul,nul,Yes,nul
Marusinac,Anastasius Basilica,Salona-Marusinac,Solin ,43.543834,16.475115,Archaeological Excavation,"https://www.google.com/maps/place/Marusinac/@43.543834,16.475115,69m/data=!3m1!1e3!4m8!1m2!2m1!1sMarusinac+Historical+landmark+in+Solin,+Croatia!3m4!1s0x0:0xe38e871fbdc3af6b!8m2!3d43.5438131!4d16.4752301",100,305,305,310,310,"Date from archaology; Location deduced from building plan Curcic, 128","Krauthemier, 14",Basilica,nul,Church,Martyrium,nul,nul,nul,Barrel-vaulted,Yes,nul,3,nul,nul,Yes,nul
Little Hagia Sophia,H. Segios and Bakchos,Constantinople,Istanbul,41.0027294,28.9703106,Extant,"https://www.google.com/maps/place/Little+Hagia+Sophia/@41.0027294,28.9703106,669m/data=!3m2!1e3!4b1!4m5!3m4!1s0x14cab999c872fc19:0xe33e259df5649dc1!8m2!3d41.0027259!4d28.9722002",100,528,525,530,528,Approximation. Completed soon after start of Justinian's reign 527,"Krauthemier, 162",Basilica,Octagonal,Church,nul,Justinian/Theodora,Yes,Yes,Groin vaulted,nul,Yes,0,Yes,Yes,Yes,Yes
Acropolis-episcopal complex,The Cathedral of Caricin Grad,Justiniana-Prima,Caricin Grad,42.953309,21.669093,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,100,550,527,580,550,"Built during Justinian's reign; deduced from building plan, Krauthemier, 193","Krauthemier, 193",Basilica,Cross-shaped,Church,nul,nul,nul,nul,Vaulted,Yes,nul,3,Yes,Yes,Yes,nul
Church B,Church B,Justiniana-Prima,Caricin Grad,42.9514624,21.6694312,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,90,550,500,600,550,Date approximation,"Curcic, 213",Basilica,Cross-transept,Church,nul,Justinian,nul,nul,Vaulted,Yes,Yes,2,nul,Yes,nul,nul
Church D,Church D,Justiniana-Prima,Caricin Grad,42.951236,21.670086,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,90,549,548,550,549,"Built after Theodora's death in 548; Location deduced from plan in Curcic, 213","Curcic, 213",Basilica,Cross-transept,Church,nul,Justinian,nul,Yes,Vaulted,Yes,Yes,2,nul,Yes,Yes,Yes
