Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Province1,City2,Region3,ModernProvince1,ModernCity2,ModernRegion3,NameModern,NameAncient,ObjectType,Stance,DressStyle,HairStyle,Expression,DateLow,DateHigh,DateDecision,HeightMeters,Material,Honorand,HonorandStatus,Awarder,AwarderStatus,Naturalism,RomanClassical,Citation,ReligionPresent,Reused,LanguageUsed,TextType
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head of Girl Fausta,Null,Head,None,None,Braided,Solemn,300,350,325,0.22,Marble,Unknown,Imperial Family,Unknown,Unknown,No,No,,No,Unknown,Null,Null
Unkown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Bust of Woman,Null,Bust,None,Palla,Pulled Back,Solemn,360,400,380,0.66,Colored Marble,Unkown,Unknown,Unknown,Unknown,No,Yes,,No,Unknown,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portait Head for Insertion of Woman,Null,Head,None,None,Hair Cloth,Displeased,340,400,370,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,,No,Yes,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portait Head for Insertion of Woman,Null,Head,None,Veiled,Hair Cloth,Pleased,380,420,400,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,,No,No,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head for Insertion of Helena,Null,Statue,Seated,Himation,Encircling Braid,Pleased,315,330,323,1.23,Marble,Helena,Imperial Family,Unknown,Unknown,No,Yes,,No,Yes,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head for Insertion of Woman With Full Face,Null,Head,None,None,Encircling Braid,Solemn,360,400,380,0.375,Marble,Unknown,Unknown,Unknown,Unknown,No,No,,No,Yes,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head of Woman With Large Encircling Braid,Null,Head,None,Veiled,Encircling Braid,Solemn,300,400,350,0.3,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,,No,Yes,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head of Woman With Central Braid,Null,Head,None,None,Central Braid,Pleased,270,300,285,Not Given,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,,No,No,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head of Woman Recut from Second Century Portrait,Null,Head,None,None,Turban,Solemn,300,400,350,0.231,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,,No,Unknown,Null,Null
Unknown,Unknown,Conjecture,Google Maps,50%,Unknown,Unknown,Italy,Unknown,Unknown,Unknown,Portrait Head of Woman With Broad Central Braid,Null,Head,None,None,Central Braid,Displeased,260,300,280,0.22,Marble,Unknown,Unknown,Unknown,Unknown,No,No,,No,No,Null,Null
