NameModern,NameAncient,AncientLocation1,AncientLocation2,AncientLocation3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Citation,ObjectType,Stance,DressStyle,HairStyle,Expression,HeightMeters,Material,Honorand,HonorandStatus,Awarder,AwarderStatus,Naturalism,RomanClassical,ReligionPresent,LanguageUsed,TextType
Portrait Head of Girl Fausta,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.85551,12.4822,Conjecture,Google Maps,50%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Braided,Solemn,0.22,Marble,Unknown,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Bust of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.902783,12.530558,Conjecture,Google Maps,50%,380,360,400,380,"Last Statues of Antiquity, University of Oxford",Bust,None,Palla,Pulled Back,Solemn,0.66,Colored Marble,Unkown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portait Head for Insertion of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.921845,12.577876,Conjecture,Google Maps,50%,370,340,400,370,"Last Statues of Antiquity, University of Oxford",Head,None,None,Hair Cloth,Displeased,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portait Head for Insertion of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.924064,12.581205,Conjecture,Google Maps,50%,400,380,420,400,"Last Statues of Antiquity, University of Oxford",Head,None,Veiled,Hair Cloth,Pleased,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head for Insertion of Helena,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.939693,12.569233,Conjecture,Google Maps,50%,323,315,330,323,"Last Statues of Antiquity, University of Oxford",Statue,Seated,Himation,Encircling Braid,Pleased,1.23,Marble,Helena,Imperial Family,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head for Insertion of Woman With Full Face,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.85543,12.4819,Conjecture,Google Maps,50%,380,360,400,380,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Solemn,0.375,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Large Encircling Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.945142,12.412633,Conjecture,Google Maps,50%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,Veiled,Encircling Braid,Solemn,0.3,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman With Central Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.902777,12.530543,Conjecture,Google Maps,50%,285,270,300,285,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Pleased,Not Given,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman Recut from Second Century Portrait,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.921945,12.397862,Conjecture,Google Maps,50%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Turban,Solemn,0.231,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head of Woman With Broad Central Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.881653,12.45134,Conjecture,Google Maps,50%,280,260,300,280,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Displeased,0.22,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
