Name of Object Modern,Name of Object Ancient,Type of Object,Location Ancient,Location Modern,Geolocation Source,Geolocation Citation,Latitude,Longitude,Date Low,Date High,Date Decision,Religious or Pagan?,Spolia (Y/N) and what? ,Still Standing?,Complexity 1-3,Ruler (who commissioned it),Intent/Purpose,Naturalistic,Notes,Notes,Image URL,Source for Data,Source Discussion
The Arch of Constantine,The Arch of Constantine ,sculpture-imperial arch,Rome,Rome,in situ,,41.8898,12.4906,312,315,315,Pagan,"Yes, Imperial spolia throughout",Yes,2,Constantine,To equate Constantine with emperors of the past and make him appear as a strong ruler,parts are yes,,,,Class notes;latitude.to,Working Procedure: chose 315 as date decision bc that's when it was dedicated
The Sarcophagus of Junius Bassus,The Sarcophagus of Junius Bassus,sculpture- sarcophagus,Rome,Rome,original location known,wikipedia,41.9022,12.4539,359,359,359,Christian,No,Yes,3,Junius Bassus' family,To give glory to God in the afterlife of Junius Bassus in that he will find peace in heaven,yes,Picturing the Bible,,,,
Epitaph with fish and anchor symbol,Stele Licinia Amias,sculpture- Epitaph,Rome,Rome,original location known,wikipedia,41.9022,12.4539,275,300,288,Christian,no,yes,1,most likely Licinia's family,To honor the deceased woman in a combination of Roman and Christian customs,no,,buried near pagan cemetary because apostle Peter was buried there and Christians wished to be buried near the saint,http://judaism-and-rome.cnrs.fr/sites/default/files/styles/large/public/stele_licinia_amias_terme_67646.jpg?itok=er8BN2Ky,,
Sarcophagus with Moses and the Israelites crossing the Red Sea,Sarcophagus with Moses and the Israelites crossing the Red Sea,sculpture-sarcophagus,Rome,Vatican City,"Discovered in Rome, but exact location unknown",,,,375,400,388,Christian,no,yes,2,unknown,To honor the deceased in the likeness of God,no,,,http://www.museivaticani.va/content/dam/museivaticani/immagini/collezioni/musei/museo_pio_cristiano/06_06_Sarcofago_passaggio_Mar_Rosso_dettaglio.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
"Sarcophagus with Moses receiving the tablets of the law, a portrait of the deceased, and the Sacrifice of Isaac","Sarcophagus with Moses receiving the tablets of the law, a portrait of the deceased, and the Sacrifice of Isaac",sculpture-sarcophagus,Rome,Vatican City,,,,,300,399,350,Christian,no,yes,2,,To honor the deceased in the likeness of God,no,,,,,
Sarcophagus with the Sacrifice of Isaac and Jesus before Pilate,A sarcophagus with Traditio Legis,sculpture-sarcophagus,Rome,Vatican City,original location known,wikipedia,41.9022,12.4539,300,399,350,Christian,no,yes,2,unknown,To honor the deceased in the likeness of God,yes,,,http://ancientrome.ru/art/img/7/7581.jpg,,
"Marble portrait bust, probably representing the emperor Trajan Decius",Bust of Trajan Decius,sculpture,Rome,Rome,original location unknown,,,,225,275,250,Pagan,no,yes,2,,To give honor,yes,,,http://www.rome101.com/Portraiture/Decius/thumb/0608_7145WS_sm_T.jpg,,
Colossal marble head of Constantine,Colossus of Constantine,sculpture,Rome,Rome,original location known,wikipedia,41.892,12.4882,315,330,323,Pagan,no,yes,2,,To give honor to Constantine and show the grandeur in the Basilica of Maxentius,no,,,http://capitolini.net/images/medium/0001.foto.F.01534.jpg,,
Strigilated marble sarcophagus from Ostia,The Sarcophagus of Cyriacus,sculpture-sarcophagus,Ostia,Ostia,in situ,wikipedia,41.7311,12.2863,250,300,275,Pagan,no,yes,2,most likely Quiriacius's family,To commemorate the life of Quiriacius and wish him peace in the afterlife,no,,,http://www.ostia-antica.org/regio2/7/7-1_2.jpg,,
Marble relief of L. Lartius Anthus,Relief of L. Lartius Anthus,sculpture- relief panel,Rome,Rome,general location known,latitude.to,41.92166298,12.4509982,200,225,213,Pagan,no,yes,1,probably a friend,To honor the deceased,no,,,https://arachne.uni-koeln.de/arachne/images/image.php?key=135437&method=min&width=141&height=111,,
 Hercules as the 'Farnese Hercules',Farnese Hercules,sculpture,Rome,Naples,original location known,wikipedia,41.879,12.4924,200,225,213,Pagan,no,yes,2,made for the Baths of Caracalla,To exemplify grandeur,no,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Herakles_Farnese_MAN_Napoli_Inv6001_n01.jpg/265px-Herakles_Farnese_MAN_Napoli_Inv6001_n01.jpg,,
"Marble 'biographical' sarcophagus, from the catacomb of Praetextatus",The Balbinus Sarcophagus,sculpture-sarcophagus,Rome,Rome,found address of ancient church on its grounds,wikipedia,41.83948,12.5458,240,250,245,Pagan,no,yes,3,most likely himself or his successor,"To honor Emperor Balbinus in his Death, to show his wealth and status ",Some aspects are,,,https://static.cambridge.org/resource/id/urn:cambridge.org:id:binary-alt:20180929082507-40533-mediumThumb-00071fig10_3.jpg?pub-status=live,,
The Pianabella Sarcophagus,The Pianabella Sarcophagus,sculpture-sarcophagus,Rome,Ostia,"original location known, but precise location is not traceable, general location used for aesthetic",latlong.net,41.75127,12.29876,135,185,160,Pagan,no,yes,3,wealthy Ostian family,To show status even in death ,some aspects are,"Life, Death, and Representation",,http://ancientrome.ru/art/artwork/sculp/rom/headstone/ostia_antica/sar002.jpg,,
