NameModern,NameAncient,LocationAncient1,LocationModern1,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Notes2,Notes3,Citation1,Citation2,DomeNumberOf,DomeDiameterMeters,BuildingType
Baths of Caracalla (Side Building),,Rome,Rome,41.879444°,12.493056°,Ruins,Wikipedia,100%,212-216,212,216,216,,,,"Rasch, 130",,1,19.8,Baths
Baths of Caracalla (Caldarium),,Rome,Rome,41.879444°,12.493056°,Ruins,Wikipedia,100%,212-216,212,216,216,,,,"Sear, 258",,1,35.08,Baths
Mausoleum of Villa Gordiani,,Rome,Rome,41.894164°,12.553769°,Ruins,Wikipedia,100%,3rd. C,200,300,250,Houses remains of the Goridian Imperial family,,,"Rasch, 128",,1,11.1,Mausoleum
Mausoleum of Tor de' Schiavi,,Rome,Rome,41.894164°,12.553769°,Ruins,Wikipedia,100%,300,300,300,300,,,,"Ward Perkins, Imperial Architecture",,1,13.71,Mausoleum
Mausoleum of Diocletian,,Spalatum,Split,43.508333°,16.44°,Extant,Wikipedia,100%,~300,300,300,300,Now contained in Cathedral of Saint Domnius,,,"Rasch, 129",,1,13.35,Mausoleum
Mausoleum of Galerius,,Salonica,Thessaloniki,40.633333°,22.952917°,Extant,Wikipedia,100%,Before 311,293,311,305,Converted to rotunda,,,"Ward Perkins, Imperial Architecture",,1,24.15,Mausoleum
Mausoleum of Maxentius,,Rome,Romes,41.854722°,12.519194°,Ruins,Wikipedia,100%,4. Jh.,300,309,305,,,,"Rasch, 123",,1,25.04,Mausoleum
Baths of Diocletian (San Bernardo),,Rome,Rome,41.903°,12.498°,Extant,Wikipedia,100%,~300,306,306,306,Converted into an abbatial church in 1598,,,"Rasch, 138",,1,22,Baths
Baths of Diocletian (Planetarium),,Rome,Rome,41.903°,12.498°,Ruins,Wikipedia,100%,~300,306,306,306,,,,"Rasch, 130",,1,21.65,Baths
Baths of Diocletian (Tepidarium),,Rome,Rome,41.903°,12.498°,Ruins,Wikipedia,100%,~300,306,306,306,,,,"Rasch, 136",,1,19.3,Baths
Baptistry at the Lateran,,Rome,Rome,41.88615°,12.504289°,Extant,Wikipedia,100%,"315, remodelled 432-40",315,440,315,"Baroque alterations by Bernini, Borromini",,,"Krautheimer, 90",,1,8.5,Baptistery
Mausoleum of Helena,,Rome,Rome,41.878889°,12.548611°,Ruins,Wikipedia,100%,4. Jh.,326,330,330,"Houses remains of Constantine's mother, Helena",,,"Rasch, 129","Armstrong, 2",1,20.18,Mausoleum
Church of the Holy Sepulchre,,Jerusalem,Jerusalem,31.778333°,35.229722°,Extant,Wikipedia,100%,Restoration as of ca. 348,348,348,348,Anastasis Rotunda - Supposedly built above Jesus' tomb,,,"MacDougal, 21",,1,35,Domed Basilica
Pantheon of Ostia,,Ostia,Ostia,41.755833°,12.291667°,Archeological Site,Wikipedia,100%,After Constantine,200,300,350,,,,"Rasch, 129","Briggs, 168",1,18.38,Rotunda
Temple of Minerva Medica,,Rome,Rome,41.8939°,12.5118°,Ruins,Google Maps,100%,4th Century,300,399,350,Lightweight Pumice Concrete,"Not a temple to Minerva, but a Nymphaeum, a building dedicated to nymphs",,Steven T. Muench,"Ward Perkins, Imperial Architecture",1,23.65,Nymphaeum
