UUID,QUOTE_TRANSCRIPTION,ANCHOR,HISTORY,TYPE,SourceOfLocation,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,Author,AuthorBorn,AuthorDies,Textwriting,Certainty,source,TextTitle,TextWritingPlaceName,TextwritinglocationLAT,TextwritinglocationLONG,sourcefortextlocation,,,,catergory
f70c698d-adaa-479f-b07a-9acfa48fe32b,Achaean race,char-offset:5814,HISTORICAL,PERSON,http://pleiades.stoa.org/places/579885,"Athenae|Athenae, AthÃ_na",37.971687,23.726464,settlement,ASSIGNED,TEST,give athens as center,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108928,,,1
1f1934bc-7cab-478b-9b03-d418dd1fc945,Aebbercurnig,char-offset:7999,HISTORICAL,PLACE,https://books.google.it/books?id=iAa6JoLgFRwC&pg=PA263&lpg=PA263&dq=Aebbercurnig&source=bl&ots=TF2VgNgv5D&sig=0RtJDa31uPBtBsyAcoa5N86CMtw&hl=en&sa=X&ved=0ahUKEwiPiMDVgaTbAhUGj1kKHf0RCpcQ6AEILDAA#v=onepage&q=Aebbercurnig&f=false,"Linlithgow, Aber Curnaig, Abercorn",55.97162,-3.60258,pictish_settlement,VERIFIED,TEST,,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,2
9afa4510-430f-4113-bac6-87fe031bf47b,Aetius,char-offset:11866,HISTORICAL,PERSON,http://pleiades.stoa.org/places/993,Gallia,44.7309821,3.598898158,region,ASSIGNED,TEST,given to gaul based on: http://referenceworks.brillonline.com.i.ezproxy.nypl.org/entries/brill-s-new-pauly/aetius-e106390?s.num=0&s.f.s2_parent=s.f.book.brill-s-new-pauly&s.q=aetius,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,3
0c54829a-4f52-4fa1-acc4-ee5b6ac346f5,Aetius,char-offset:12359,HISTORICAL,PERSON,http://pleiades.stoa.org/places/994,Gallia,44.7309821,3.598898158,region,ASSIGNED,,given to gaul based on: http://referenceworks.brillonline.com.i.ezproxy.nypl.org/entries/brill-s-new-pauly/aetius-e106390?s.num=0&s.f.s2_parent=s.f.book.brill-s-new-pauly&s.q=aetius,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,4
669a07e5-5901-44af-acda-ee3088a70ab6,Aetius,char-offset:12594,HISTORICAL,PERSON,http://pleiades.stoa.org/places/995,Gallia,44.7309821,3.598898158,region,ASSIGNED,,given to gaul based on: http://referenceworks.brillonline.com.i.ezproxy.nypl.org/entries/brill-s-new-pauly/aetius-e106390?s.num=0&s.f.s2_parent=s.f.book.brill-s-new-pauly&s.q=aetius,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,
273aa89e-da10-4fed-b1a4-aee19d6d9049,Alani,char-offset:3611,HISTORICAL,PERSON,,,,,,,,,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,
13aac088-f2fe-41ab-87e1-95c06f02b08e,Alaric,char-offset:3561,HISTORICAL,PERSON,,,,,,,,,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,
fe523d56-efdc-43d0-9065-96be6fda0153,Alclyde,char-offset:8181,HISTORICAL,PLACE,,,,,,UNVERIFIED,,,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,
e35cb56c-1703-4d01-91a0-ff2e7f9b9b20,Alexander,char-offset:1198,HISTORICAL,PERSON,,,,,,,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108905,,,
3bffa07d-7fa3-4a41-9084-ee1d67374691,Alexander,char-offset:1682,HISTORICAL,PERSON,,,,,,,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108908,,,
327d68a5-be80-4b43-a441-2ffecf4569cb,Alexandria,char-offset:1131,HISTORICAL,PLACE,http://pleiades.stoa.org/places/727070,"Alexandria|Alexandria, Alexandria",31.195371,29.904133,"cemetery,temple-2,architecturalcomplex,theatre,port,settlement",VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108960,,,
49a24fa7-b7a8-45c9-85a0-95d4ee73ce0d,all races,char-offset:2334,HISTORICAL,PERSON,,,,,,,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108912,,,
bba38d0a-0a84-49c6-b2a3-41f04ee20a6f,Allobroges,char-offset:7014,HISTORICAL,PERSON,,,,,,,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108933,,,
1aaf85e1-20d7-47d1-ad8b-971803860bef,Alpine,char-offset:4843,HISTORICAL,PLACE,http://pleiades.stoa.org/places/180487,Untitled,47,6,road,VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108984,,,
62147ea5-45b3-4131-a6d2-d9c1a0d21974,Alpine,char-offset:7062,HISTORICAL,PLACE,http://pleiades.stoa.org/places/167752,Edenates,44.25,6.25,people,VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/109012,,,
0de1e6f1-1bd8-46bf-a170-24a3967d1dcd,Antioch,char-offset:1119,HISTORICAL,PLACE,https://pleiades.stoa.org/places/658381,Antioch,36.2225515,36.183214,,VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108902,,,
1fcc0483-f269-4d2e-ba26-f160d0e2464e,Antioch,char-offset:1157,HISTORICAL,PLACE,https://pleiades.stoa.org/places/658382,Antioch,36.2225515,36.183214,,VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108903,,,
6903e141-ba78-4652-8d4c-c787fa00b02e,Aponus,char-offset:10049,HISTORICAL,PLACE,http://pleiades.stoa.org/places/393376,"Aponus|Aponus, Montegrotto Terme",45.331858,11.783797,bath,VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/109027,,,
580d7b1b-651d-4da5-a4a8-b5cd0b176e3d,Aquileia,char-offset:4181,HISTORICAL,PLACE,http://pleiades.stoa.org/places/187290,"Aquileia|Aquileia, Aquileia|Aquileia",45.769631,13.370946,"church,settlement",VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108975,,,
829fbe41-bc28-4e28-ba8f-b3b0dcf290e8,Aquileia,char-offset:4292,HISTORICAL,PLACE,http://pleiades.stoa.org/places/187290,"Aquileia|Aquileia, Aquileia|Aquileia",45.769631,13.370946,"church,settlement",VERIFIED,,,Ausonius,310,395,389,rough,loeb,On the Order of Cities,Treves,49.74204083,6.640479755,Loebintro not certain,http://pleiades.stoa.org/places/108976,,,
e7f763ec-e838-4745-96cd-49b0ab89d47e,Aquileia,char-offset:1970,HISTORICAL,PLACE,http://pleiades.stoa.org/places/187290,"Aquileia|Aquileia, Aquileia|Aquileia",45.769631,13.370946,"church,settlement",VERIFIED,,,Bede,672,735,731,pretty good,https://www.bl.uk/collection-items/bedes-ecclesiastical-history,Ecclesiastical History of the English Nation,Jarrow,54.98029,-1.48275,centre of jarrow currently according to googlemaps,,,,
