Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography
110.00,Alexandria (Aegyptus),Alexandria,Aegyptus,Egypt,1,74 B2,-322,NULL,29.903728,31.195024,Beloch 1886; Bowman 2011; Cohen 2006; Humphrey 1986; Johnson 1936; Jones 1937; McEvedy 2011; PECS; Russell 1958; Sear 2006; Wilson 2011.
411.00,Ancyra,Ankara,Cappadocia et Galatia,Turkey,2,63 B1,-25,NULL,32.860416,39.941901,BNP; Broughton 1938; DGRG; Jones 1937; PECS; Russell 1958; Sear 2006.
1324.00,Antiochia (Syria),Antakya,Syria,Turkey,1,67 C4,-300,NULL,36.169629,36.210172,Boatwright 2000; Jones 1937; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.
1267.00,Aquincum,Obuda,Pannonia Inferior,Hungary,2,20 G2,106,NULL,19.050216,47.56473,Boatwright 2000; Golvin 1988; McEvedy 2011; PECS; Salmon 1969; Sear 2006; Wilkes 2003b; Wilson 2011.
1103.00,Attalea,Antalya,Lycia et Pamphylia,Turkey,3,65 E4,-150,NULL,30.705521,36.884284,BNP; Cohen 1995; DGRG; Jones 1937; PECS; Salmon 1969; Sear 2006.
1077.00,Augusta Emerita,Mérida,Lusitania,Spain,2,26 D3,-25,NULL,-6.338496,38.915571,Benario 1981; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Golvin 1988; Humphrey 1986; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Woloch 1983.
225.00,Augusta Praetoria,Aosta,Alpes Graiae et Poeninae,Italy,3,39 A2,-25,NULL,7.313234,45.735,Beloch 1880; Beloch 1886; BNP; Cornell and Mathews 1982; de Ligt 2012; Golvin 1988; MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Woloch 1983.
1288.00,Augusta Vindelicum,Augsburg,Raetia,Germany,2,12 D4,-15,NULL,10.894765,48.365463,BNP; Boatwright 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Wilkes 2003b.
231.00,Bostra,Bosra,Arabia,Syria,2,69 D4,106,NULL,36.482118,32.518318,Humphrey 1986; Jones 1937; McEvedy 2011; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.
567.00,Burdigala,Bordeaux,Gallia Aquitania,France,2,14 E4,-49,NULL,-0.574367,44.839577,Bedon 2001; Bedon et al 1988; Benario 1981; BNP; Bomgardner 2000; DGRG; Golvin 1988; PECS; Russell 1958; Wilson 2011; Woloch 1983.
