 NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Roman Dynasty,CivilWar,Battle Outcome,Main Barbarian Ethnicity,Other Notable Barbarian Ethnicities, Leading Roman General ,Other Roman Generals,Leading Barbarian/Rebel General,Other Barbarian/Rebel Generals,Notes1,Notes2,Notes2,Citation1,Citation2
Adrianople,Adrianople,Adrianople,Thracia,Europa,Edirne,Eastern Thrace,Turkey,41.8,26.6,Documentary,Wikipedia,100%,378,378,378,378,Valentian,No,Barbarian Victory,Visigoths,"Goths, Alans, Huns, Franks",Emperor Valens,,Fritigern,"Alatheus, Saphax","Chosen to be first data point because it was the dramatic battle where a Roman emperor fell in the field of combat. Franks fought for the Romans, all other Barbarian ethnicities fought for the Visigoths.",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 51.",
Siscia,Siscia,Siscia,Illyria,Europa,Sisak,Croatia,Europa,45.470483,16.386122,Documentary,Wikipedia,100%,388,388,388,388,Theodosian,Yes,Roman Civil War,Goths,"Alans, Vandals, Huns, Franks",Emperor Theodosius,"Timasius, Promotus, Richomeres, Arbogastes",Magnus Maximus,,"All barbarians listed fought for Theodosius, although Maximus did have a largely unknown force of German mercenaries.",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 166.",
Poetovio,Poetovio,Poetovio,Noricum Mediterraneum,Europa,Ptuj,Slovenia,Europa,46.419444,15.869444,Documentary,Wikipedia,100%,388,388,388,388,Theodosian,Yes,Roman Civil War,Goths,"Alans, Vandals, Huns, Franks",Emperor Theodosius,"Timasius, Promotus, Flavius Richomeres, Flavius Arbogastes",Marcellinus,,Same as above. Marcellinus was a brother of Maximus.,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 149.",
Frigidus River,Flumen Frigidus,Frigidus River,Near Aquilela,Italia,Vipava River,Between Slovenia and Italy,Europa,45.870278,13.936111,Documentary,Wikipedia,90%,394,394,394,394,Theodosian,Yes,Roman Civil War,Franks,Visigoths,Emperor Theodsius,"Stilicho, Timasius, Bacurius, ",Arbogastes,Eugenius,"Arbogastes was a Frank, and Stilicho commanded a large force of Visigoths.",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 98.",
Tabraca,Tabraca,Tabraca,Africa Proconsularis,Africa,Tabarka,Tunisia,Africa,36.954444,8.758056,Documentary,Wikipedia,80%,398,398,398,398,Theodosian,Yes,Roman Civil War,Berbers,,Mascezel,,Gildo,,Less certain of this location because most of the fighting was south of Tabraca.,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 170.",
Timavus,Timavus,Flumen Tivanus,South of Alpes,Between Italia and Illyria,Timavo River,South of the Alps,Between Italy and Slovenia,45.794,13.58,Documentary,Wikipedia,70%,401,401,401,401,Theodosian,No,Barbarian Victory,Visigoths,,Unknown,,Alaric,,Little known on this battle,Primary source is Claudius's Gothic Wars; this battle mentioned in a speech of Stilicho's,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016,178.",
Verona,Verona,Verona,Italia,Europa,Verona,Italy,Europe,45.26,10.59,Documentary,Wikipedia,90%,403,403,403,403,Theodosian,No,Roman Victory,Visigoths,,Stilicho,,Alaric,,"Location is outside Verona, unclear how far or in what direction otuside",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016,183",
Pollentia,Pollentia,Pollentia,Flumen Tanarus,Italia,Pollenzo,Tanaro River,Italy,44.684739,7.895866,Documentary,Wikipedia,95%,403,403,403,403,Theodosian,No,Roman Victory,Visigoths,Alans,Stilicho,,Alaric,,"The Alans, under King Saul, fought as Foederati under Stilicho-need to adjust columns to account for this",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 149.",
Faesulae,Faesulae,Faesulae,Near Florentia,Italia,Fiesole,Near Florence,Italy,43.807222,11.291944,Documentary,Wikipedia,95%,406,406,406,406,Theodosian,No,Roman Victory,Ostrogoths,"Vandals, Alans, Huns",Stilicho,,Radagasius,,"Romans reinforced by Alans, Goths, Huns",,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 95.",
Rome,Rome,Roma,Italia,Europa,Rome,Italy,Europe,41.9,12.5,Documentary,Wikipedia,100%,410,410,410,410,Theodosian,No,Barbarian Victory,Visigoths,,Emperor Honorius,,Alaric,,,,,"Taylor, Don. Roman Empire at War. Barnsley, United Kingdom: Pen and Sword Books LtD, 2016, 156.","Peter Heather, The Fall of the Roman Empire: A New History of Rome and the Barbarians (Oxford University Press, 2006), page 224"
