NameModern,Type of Sculpture,Medium,SizeMeters,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Intent,Status,Who,Sect,NaturalisticScale1_5,Spolia,FreestandingOrRelief,Condition,Source,Discussion1,Discussion2,CatalogNumber
Bust of woman with headdress and scroll,Bust,Marble,0.53,Constantinople,Anatolia,Asia Minor,Istanbul,Turkey,Asia Minor,41.013889,28.955556,Documentary evidence,Wikipedia,100,late 4th century-early 5th century,380,430,400,Personal/Funerary,Aristocrat,Unknown,Christian,3,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-8 https://www.metmuseum.org/art/collection/search/70008697,"Bust statue honoring good wife, as shown by Himation and chiton = Greek, scroll= classical learning","Late antique because unnaturalistic hand holding scroll, inset irises of late 5th century. Headdress typical of late 4th (MET MUSEUM)",LSA-8
Portrait bust of woman with tabula inscribed Isbardia,Bust,Marble,0.72,Isparta,Anatolia,Asia Minor,Isparta,Turkey,Asia Minor,37.764226,30.556195,Documentary evidence,Wikipedia,100,late 4th century-early 5th century,375,450,400,Political,Allegory,Isbardia,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-427,"Wears a strange headdress/crown, unusual, thought to be the representation, inscribed with ISBARDIA",,LSA-427
Statue of (woman as?) Muse with double flutes (headless),Full-Body (headless),Marble,1.16,Aphrodisias,Anatolia,Asia Minor,Geyre,Turkey,Asia Minor,37.708333,28.723611,Documentary evidence,Wikipedia,100,late 4th century-5th century,350,500,400,Religious,Muse,Muse,Pagan,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-202,"Statue found buried, headless. Most likely a muse, carrying a cithara (https://www-jstor-org.avoserv2.library.fordham.edu/stable/300284) RRR Smith",Poorly draped cloth,LSA-202
Portrait head of woman with central braid,Head,Marble,0.23,Pamphylia,Anatolia,Asia Minor,Perge,Turkey,Asia Minor,37,31,Documentary evidence,Wikipedia,100,late 3rd century,275,300,288,Unknown,Aristocrat,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-248,,,LSA-248
Upper half of portrait statue of woman with central braid hairstyle,Upper Half of Body,Marble,1.235,Pamphylia,Anatolia,Asia Minor,Side,Turkey,Asia Minor,36.766667,31.388889,Documentary evidence,Wikipedia,100,late 3rd century,275,300,288,Religious,Allegory,Unknown,Pagan,4,No,Wall-Mounted,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-249,Ceres type,"""The hairstyle of this head has three defining characteristics. 1) the central braid is broad and thick and reaches the brow; 2) the hair around the brow is thick and moves around and partially over the ears in large waves; 3) a lock in front of the ears comes forward in a stylized curl.""",LSA-249
Portrait head of woman with tall central braid and encircling braid,Head,Marble,0.35,Perge,Anatolia,Asia Minor,Aksu,Turkey,Asia Minor,36.961389,30.853889,Documentary evidence,Wikipedia,100,,270,300,300,Unknown (probably personal),Aristocrat,Unknown,Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-255,"Statue depicting woman with elaborate hairstyle. Typically shown with drapery, broken off head","Drilling in irises, canthi, and braid. Central braid hairstyle popular late 3rd century",LSA-255
Portrait head of woman with crown-braid hairstyle,Head,Marble,0.32,Smyrna,Anatolia,Asia Minor,Ä°zmir,Turkey,Asia Minor,38.418611,27.139167,Documentary evidence,Wikipedia,100,,295,325,315,Unknown,Aristocrat,Helena,Null,5,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-256,Statue depicts woman with crown braid hairstyle combines 3rd century central braid style w encircling braid style of 4th century,"Thought to maybe be Helena, Constantine's mom but no real proof",LSA-256
Portrait head of woman with elaborately braided hairstyle,Head,Marble,0.279,Perge,Anatolia,Asia Minor,Aksu,Turkey,Asia Minor,36.961389,30.853889,Documentary evidence,Wikipedia,100,,300,400,350,Political,Aristocrat,"Unknown, maybe Helena",Null,4,No,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-259,,,LSA-259
"Veiled portrait head of woman, probably priestess",Head,Marble,0.23,Perge,Anatolia,Asia Minor,Aksu,Turkey,Asia Minor,36.961389,30.853889,Documentary evidence,Wikipedia,100,,300,500,400,Religious,Priestess,Priestess of Artemis Pergaia,Pagan,4,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-362,costume of the priestess of Artemis Pergaia.,,LSA-362
"Portrait of woman with turban hairstyle, re-used?",Bust,Marble,0.31,Constantinople,Anatolia,Asia Minor,Istanbul,Turkey,Asia Minor,41.013611,28.955,Documentary evidence,Wikipedia,20,,115,350,350,Unknown,Unknown,Unknown,Null,3,Yes,Freestanding,Fragmented,http://laststatues.classics.ox.ac.uk/database/detail.php?record=LSA-372,"LATER DATE because the distinctive marking of the pupils and fine, engraved, and high-arching ridge of the eyebrows",Spolia because definitely old statue recarved,LSA-372
