plan,function1,function2,"Name, anglicized",Name of modern structure on top,"place, modern",Patron, Date_estimate_AD,Date_low,Date_high,Date_av,comments on dates,source,lat,,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source,,,,
House-church,church,nul,anageion,none,Rome,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,41.891775,12.486137,https://pleiades.stoa.org/places/423025,location not known,anageion is the upper floor and dining room of a typical Mediterranean house,,no,no,NT,,,,,
House-church,church,nul,anageion,none,Ephesus,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,37.9407625,27.340307,https://pleiades.stoa.org/places/599612,location not known,anageion is the upper floor and dining room of a typical Mediterranean house,,no,no,NT,,,,,
House-church,church,nul,anageion,none,Athens,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,37.97512038,23.72719795,https://pleiades.stoa.org/places/579885,location not known,anageion is the upper floor and dining room of a typical Mediterranean house,,no,no,NT,,,,,
House-church,church,nul,anageion,none,Corinth,no,50,45,100,73,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",New Testament,37.798572,22.834379,https://pleiades.stoa.org/places/570180,location not known,anageion is the upper floor and dining room of a typical Mediterranean house,,no,no,NT,,,,,
Expanded House-church,church,nul,community house,none,Dura-Europos,no,230,220,250,235,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 6,34.748027,40.729805,https://goo.gl/maps/ESxyPGsJyjr,"yale excavations, early 20th century",,,"ruins known in 20th C, possibly destroyed by ISIS",x,,,,,,
Expanded House-church,church,nul,community house,none,North Africa,no,303,303,303,303,date is exact from primary source,"Monumenta ad Vetera ad Donatistarum historiam pertinentia, col. 231, in Krautheimer p. 6",36.89936,10.112862,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,took representative point for Roman north africa,no,,no,no,"Monumenta ad Vetera ad Donatistarum hisoriam pertinentia, col. 231,",,,,,
Titulus church,church,nul,Titulus Byzantis,SS Giovanni e Paulo,Rome,no,230,220,250,235,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",Krautheimer p. 8,41.88647,12.49211,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,"yes,",x,,,,,,
nul,martyrium,nul,confessio,SS Giovanni e Paulo,Rome,no,350,300,400,350,"date is as exact as we know it, date_low is lowest reasonable archaelogical guess for construction of structure. Date_high highest reasonable guess for construction",date is archaeological,41.88647,12.49211,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,nul,SS Giovanni e Paulo,SS Giovanni e Paulo,Rome,check,430,400,450,425,date is archaeological,Krautheimer p. 32,41.88647,12.49211,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Titulus church,church,nul,Titulus Clementiae,S. Clemente,Rome,no,300,200,380,290,date is archaeological,Krautheimer p. 32,41.88933,12.49757,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
basilica,church,nul,S. Clemente,S. Clemente,Rome,check,400,380,450,415,date is archaeological,Krautheimer p. 32,41.88933,12.49757,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
