NameModern,NameAncient,LocationAncient,LocationModern,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Citation1,Plan1,Plan2,Function1,Function2,Commisioner,Domed,Marble,Ceiling,TimberRoof,Mosaic,NumberAisles,Gallery,Exonarthex,Atrium,Ambulatory
Rotunda,Church of Agios Georgios,Salonica,Thessaloniki,40.633289,22.953068,Extant,http://www.sacred-destinations.com/greece/thessaloniki-rotunda,100,400,400,400,400,"Date turned into a church; Cavarnos, 15","Krauthemier, 54",Rotunda,Octagonal,Mausoleum,nul,Constantine,Yes,Yes,Barrel-vaulted,nul,Yes,1,nul,nul,nul,Yes
Church of Acheiropoeitos,Church of Acheiropoeitos,Salonica,Thessaloniki,40.634983,22.94789,Extant,https://thessaloniki.travel/en/exploring-the-city/themed-routes/early-christian-and-byzantine-route/item/1821-church-of-the-acheiropoietos,100,470,470,470,470,Date from archaeology,"Krauthemier, 74",Basilica,nul,Church,nul,nul,Yes,Yes,Barrel-vaulted,Yes,Yes,2,Yes,Yes,nul,nul
Hagios Demetrios,Basilica of St. Demetrius ,Salonica,Thessaloniki,40.6387967,22.9472756,Extant,"https://www.google.com/maps/place/Church+of+St.+Demetrios/@40.6387967,22.9472756,195m/data=!3m2!1e3!4b1!4m5!3m4!1s0x14a839a9555261d5:0x9adb6b6586b26aab!8m2!3d40.6387957!4d22.9478228",100,412,412,412,412,Approximate,"Krauthemier, 96",Basilica,Cross-transept,Church,nul,nul,nul,Yes,Vaulted,Yes,Yes,5,Yes,Yes,Yes,Yes
Hosios David,Latomos Monastery,Salonica,Thessaloniki,40.641505,22.9521356,Extant,"https://www.google.com/maps/place/Osios+David/@40.641505,22.9521356,33m/data=!3m1!1e3!4m12!1m6!3m5!1s0x14a839a92a802431:0xe7c5266c2f083dab!2sOsios+David!8m2!3d40.6416899!4d22.9522064!3m4!1s0x14a839a92a802431:0xe7c5266c2f083dab!8m2!3d40.6416899!4d22.9522064",100,500,500,500,500,Date from historical context,"Curcic, 110",Cross-shaped,Square,Church,Monastery,nul,Yes,Yes,Groin vaulted,Yes,Yes,0,nul,nul,nul,nul
"Church of the Prophets, Apostles, and Martyrs","Church of the Prophets, Apostles, and Martyrs",Gerasa,Jerash,32.2836393,35.8961391,Conjecture,"https://www.google.com/maps/@32.2836393,35.8961391,254m/data=!3m1!1e3",60,465,465,465,465,"Location deduced from map in Harding, 75","Krauthemier, 117",Cross-shaped,nul,Church,nul,nul,nul,Yes,Pitched,nul,Yes,6,nul,nul,nul,nul
Church of St. Theodore,Church of St. Theodore,Gerasa,Jerash,32.280983,35.8914242,Archaeological Excavation,"https://www.google.com/maps/place/Fountain+Court/@32.280983,35.8914242,414a,35y,90h/data=!3m1!1e3!4m13!1m7!3m6!1s0x151c802ff49ac08d:0x876c24b1cbded302!2sJerash,+Jordan!3b1!8m2!3d32.2746515!4d35.8960765!3m4!1s0x151c804867b8f5ef:0x55d2930e5125f0a5!8m2!3d32.2807131!4d35.8912785",70,495,494,496,495,Median,"Harding, 86",Basilica,nul,Church,nul,nul,nul,Yes,Pitched,nul,Yes,2,nul,nul,Yes,nul
Saint Anastasia,Iadera Cathedral,Iadera,Zadar,44.1162223,15.2242453,Archaeological Excavation,"https://www.google.com/maps/place/Saint+Anastasia/@44.1162223,15.2242453,196a,35y,90h/data=!3m1!1e3!4m5!3m4!1s0x4761fa70dd69c9b3:0xdcc6e5ed407fe42b!8m2!3d44.1161747!4d15.2244973",80,450,400,500,450,"Original construction approximation; location deduced from plan Curcic, 130","Curcic, 129",Basilica,nul,Church,nul,nul,nul,Yes,Groin vaulted,nul,Yes,3,nul,nul,nul,Yes
Basilica A,Basilica A,Nikopolis,Preveza,39.00868,20.73439,Archaeological Excavation,http://www.academia.edu/22578684/An_archaeological_guide_to_Nicopolis,90,535,525,550,535,Approximation,"Krauthemier, 98-9",Basilica,Cross-transept,Church,nul,nul,nul,nul,Pitched,nul,Yes,3,Yes,Yes,Yes,Yes
Basilica B,Basilica B,Nikopolis,Preveza,39.01229,20.7336,Archaeological Excavation,"https://www.google.com/maps/place/39%C2%B000'44.2%22N+20%C2%B044'01.0%22E/@39.0122467,20.7333362,133m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d39.01229!4d20.7336",80,480,474,491,480,"Approximation; Location deduced from building plan Curcic, 131","Curcic, 131",Basilica,Cross-shaped,Church,nul,Zeno,nul,nul,nul,Yes,nul,5,nul,Yes,Yes,Yes
Epidauros Basilica,Epidauros Basilica,Epidauros,Asklipeio,37.5993275,23.0753477,Archaeological Excavation,"https://www.google.com/maps/place/Epidavros+210+52,+Greece/@37.5993275,23.0753477,133m/data=!3m1!1e3!4m5!3m4!1s0x149f8bc7c6e350b1:0xd5f76e300ede1832!8m2!3d37.5958432!4d23.0768899",60,400,400,400,400,Style of mosaics,"Krauthemier, 91",Basilica,nul,Church,nul,nul,nul,Yes,nul,nul,Yes,4,nul,Yes,Yes,nul
